  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      5.6404E-03      1.1914E+00      1.0556E+00      1.3937E+00      5.2437E-03      8.4746E+01      9.3079E+01      1.0000E+00
      4.7804E-03      1.1096E+00      1.0200E+00      1.2180E+00      4.7092E-03      8.7022E+01      9.2329E+01      1.0000E+00
      4.6946E-03      1.3248E+00      1.1310E+00      1.4655E+00      3.9239E-03      7.1720E+01      1.1173E+02      1.0000E+00
      4.6194E-03      1.1103E+00      1.0205E+00      1.2185E+00      4.5527E-03      8.7614E+01      9.2997E+01      1.0000E+00
      2.1411E-03      1.3340E+00      1.3414E+00      2.1388E+00      1.1871E-03      7.1126E+01      1.1997E+02      1.0000E+00
      4.7225E-03      1.3205E+00      1.1171E+00      1.4891E+00      3.9773E-03      7.5262E+01      1.0769E+02      1.0000E+00
      4.6225E-03      1.1131E+00      1.0206E+00      1.2240E+00      4.5518E-03      8.7774E+01      9.1643E+01      1.0000E+00
      5.6552E-03      1.1969E+00      1.0603E+00      1.4034E+00      5.2406E-03      8.1005E+01      9.5606E+01      1.0000E+00
      4.7876E-03      1.1123E+00      1.0208E+00      1.2234E+00      4.7149E-03      8.8467E+01      9.2164E+01      1.0000E+00
      4.3922E-03      1.0642E+00      1.0070E+00      1.1234E+00      4.3699E-03      8.8754E+01      9.1236E+01      1.0000E+00
      4.3213E-03      1.0656E+00      1.0061E+00      1.1164E+00      4.1930E-03      8.7277E+01      9.1950E+01      1.0000E+00
      4.3289E-03      1.0613E+00      1.0065E+00      1.1193E+00      4.3086E-03      8.8697E+01      9.1217E+01      1.0000E+00
      4.0444E-03      1.0526E+00      1.0042E+00      1.0917E+00      3.9226E-03      8.8404E+01      9.2505E+01      1.0000E+00
      5.0261E-03      1.4476E+00      1.2915E+00      1.8882E+00      3.2845E-03      5.4426E+01      1.1916E+02      1.0000E+00
      3.2813E-03      1.0817E+00      1.0338E+00      1.1929E+00      2.7893E-03      8.2600E+01      1.0409E+02      1.0000E+00
      6.6263E-03      1.7004E+00      1.5944E+00      2.3111E+00      3.2502E-03      5.3148E+01      1.3675E+02      1.0000E+00
      4.3438E-03      1.0679E+00      1.0078E+00      1.1277E+00      4.3078E-03      8.8092E+01      9.1961E+01      1.0000E+00
      4.0892E-03      1.0687E+00      1.0083E+00      1.1086E+00      3.9271E-03      8.5572E+01      9.5263E+01      1.0000E+00
      4.4315E-03      1.0716E+00      1.0085E+00      1.1368E+00      4.3999E-03      8.8243E+01      9.1699E+01      1.0000E+00
      4.4398E-03      1.0849E+00      1.0106E+00      1.1502E+00      4.2798E-03      8.5307E+01      9.3807E+01      1.0000E+00
      3.3316E-03      1.0712E+00      1.0188E+00      1.1687E+00      2.8815E-03      8.5184E+01      1.0063E+02      1.0000E+00
      6.8800E-03      1.6899E+00      1.6265E+00      2.3397E+00      3.5000E-03      5.1563E+01      1.3626E+02      1.0000E+00
      5.3849E-03      1.5395E+00      1.3765E+00      2.0044E+00      3.3726E-03      5.0168E+01      1.2311E+02      1.0000E+00
      2.1031E-03      1.3561E+00      1.2641E+00      2.1531E+00      1.1720E-03      6.7880E+01      1.1625E+02      1.0000E+00
      5.6164E-03      1.1949E+00      1.0568E+00      1.3984E+00      5.2330E-03      8.4807E+01      9.2963E+01      1.0000E+00
      4.7849E-03      1.1129E+00      1.0208E+00      1.2230E+00      4.7162E-03      8.7124E+01      9.2324E+01      1.0000E+00
      4.6787E-03      1.3285E+00      1.1338E+00      1.4718E+00      3.9024E-03      7.1560E+01      1.1199E+02      1.0000E+00
      4.6178E-03      1.1132E+00      1.0214E+00      1.2243E+00      4.5421E-03      8.7652E+01      9.3034E+01      1.0000E+00
      2.1436E-03      1.3339E+00      1.3505E+00      2.1444E+00      1.1858E-03      7.0794E+01      1.2029E+02      1.0000E+00
      4.7246E-03      1.3196E+00      1.1161E+00      1.4884E+00      3.9826E-03      7.5411E+01      1.0750E+02      1.0000E+00
      4.6178E-03      1.1111E+00      1.0202E+00      1.2210E+00      4.5529E-03      8.7910E+01      9.1515E+01      1.0000E+00
      5.6755E-03      1.1941E+00      1.0596E+00      1.3998E+00      5.2489E-03      8.0878E+01      9.5561E+01      1.0000E+00
      4.7816E-03      1.1092E+00      1.0200E+00      1.2188E+00      4.7071E-03      8.8564E+01      9.2152E+01      1.0000E+00
      4.4334E-03      1.0712E+00      1.0084E+00      1.1364E+00      4.4014E-03      8.8929E+01      9.1140E+01      1.0000E+00
      4.4421E-03      1.0843E+00      1.0098E+00      1.1502E+00      4.2813E-03      8.6195E+01      9.2898E+01      1.0000E+00
      4.3455E-03      1.0677E+00      1.0073E+00      1.1278E+00      4.3108E-03      8.8921E+01      9.1056E+01      1.0000E+00
      4.0922E-03      1.0683E+00      1.0073E+00      1.1094E+00      3.9314E-03      8.6478E+01      9.4321E+01      1.0000E+00
      5.3871E-03      1.5373E+00      1.3684E+00      2.0024E+00      3.3731E-03      5.0455E+01      1.2280E+02      1.0000E+00
      3.3322E-03      1.0710E+00      1.0204E+00      1.1672E+00      2.8827E-03      8.5346E+01      1.0108E+02      1.0000E+00
      6.8774E-03      1.6926E+00      1.6189E+00      2.3411E+00      3.4996E-03      5.1682E+01      1.3611E+02      1.0000E+00
      4.3268E-03      1.0616E+00      1.0066E+00      1.1195E+00      4.3078E-03      8.8760E+01      9.1295E+01      1.0000E+00
      4.0436E-03      1.0524E+00      1.0047E+00      1.0904E+00      3.9225E-03      8.7481E+01      9.3426E+01      1.0000E+00
      4.3903E-03      1.0644E+00      1.0071E+00      1.1236E+00      4.3686E-03      8.8556E+01      9.1441E+01      1.0000E+00
      4.3187E-03      1.0654E+00      1.0064E+00      1.1157E+00      4.1916E-03      8.6380E+01      9.2852E+01      1.0000E+00
      3.2817E-03      1.0809E+00      1.0318E+00      1.1941E+00      2.7901E-03      8.3063E+01      1.0362E+02      1.0000E+00
      6.6139E-03      1.6980E+00      1.6009E+00      2.3066E+00      3.2397E-03      5.3063E+01      1.3694E+02      1.0000E+00
      5.0151E-03      1.4473E+00      1.2963E+00      1.8870E+00      3.2839E-03      5.4261E+01      1.1944E+02      1.0000E+00
      1.3035E-02      1.2062E+00      1.0937E+00      1.5641E+00      9.4093E-03      7.2424E+01      1.0346E+02      1.0000E+00
      2.6286E-02      1.7191E+00      1.6210E+00      2.3155E+00      1.3192E-02      5.1389E+01      1.3717E+02      1.0000E+00
      2.0460E-02      1.6209E+00      1.4368E+00      2.5068E+00      1.0648E-02      5.2888E+01      1.1937E+02      1.0000E+00
