  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      1.5575E-02      1.0040E+00      1.0000E+00      1.0084E+00      1.5559E-02      8.9910E+01      9.0119E+01      1.0000E+00
      1.5607E-02      1.0042E+00      1.0000E+00      1.0080E+00      1.5593E-02      8.9930E+01      9.0040E+01      1.0000E+00
      1.5664E-02      1.0045E+00      1.0000E+00      1.0082E+00      1.5645E-02      8.9866E+01      9.0118E+01      1.0000E+00
      1.5735E-02      1.0050E+00      1.0000E+00      1.0086E+00      1.5713E-02      8.9824E+01      9.0168E+01      1.0000E+00
      1.5817E-02      1.0064E+00      1.0001E+00      1.0109E+00      1.5783E-02      8.9771E+01      9.0248E+01      1.0000E+00
      1.5698E-02      1.0008E+00      1.0000E+00      1.0015E+00      1.5696E-02      8.9763E+01      9.0232E+01      1.0000E+00
      1.5596E-02      1.0028E+00      1.0000E+00      1.0065E+00      1.5579E-02      8.9773E+01      9.0237E+01      1.0000E+00
      1.5575E-02      1.0040E+00      1.0000E+00      1.0084E+00      1.5559E-02      8.9910E+01      9.0119E+01      1.0000E+00
      1.5607E-02      1.0042E+00      1.0000E+00      1.0080E+00      1.5593E-02      8.9930E+01      9.0040E+01      1.0000E+00
      1.5664E-02      1.0045E+00      1.0000E+00      1.0082E+00      1.5645E-02      8.9866E+01      9.0118E+01      1.0000E+00
      1.5735E-02      1.0050E+00      1.0000E+00      1.0086E+00      1.5713E-02      8.9824E+01      9.0168E+01      1.0000E+00
      1.5817E-02      1.0064E+00      1.0001E+00      1.0109E+00      1.5783E-02      8.9771E+01      9.0248E+01      1.0000E+00
      1.5698E-02      1.0008E+00      1.0000E+00      1.0015E+00      1.5696E-02      8.9763E+01      9.0232E+01      1.0000E+00
      1.5596E-02      1.0028E+00      1.0000E+00      1.0065E+00      1.5579E-02      8.9773E+01      9.0237E+01      1.0000E+00
      1.5575E-02      1.0040E+00      1.0000E+00      1.0084E+00      1.5559E-02      8.9910E+01      9.0119E+01      1.0000E+00
      1.5607E-02      1.0042E+00      1.0000E+00      1.0080E+00      1.5593E-02      8.9930E+01      9.0040E+01      1.0000E+00
      1.5664E-02      1.0045E+00      1.0000E+00      1.0082E+00      1.5645E-02      8.9866E+01      9.0118E+01      1.0000E+00
