  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      1.5012E-03      1.1670E+00      1.0753E+00      1.3349E+00      1.2588E-03      6.9804E+01      1.0757E+02      1.0000E+00
      1.3158E-03      1.0924E+00      1.0202E+00      1.1591E+00      1.1687E-03      7.8866E+01      9.6469E+01      1.0000E+00
      1.7234E-03      1.6020E+00      1.4215E+00      2.1702E+00      9.5174E-04      5.6736E+01      1.3043E+02      1.0000E+00
      9.1976E-04      1.1417E+00      1.0598E+00      1.2843E+00      7.3151E-04      7.9451E+01      1.0883E+02      1.0000E+00
      1.3106E-03      1.4778E+00      1.3007E+00      1.8966E+00      8.5825E-04      5.3535E+01      1.2074E+02      1.0000E+00
      1.0995E-03      1.0390E+00      1.0090E+00      1.0842E+00      1.0532E-03      8.4822E+01      9.7032E+01      1.0000E+00
      1.1137E-03      1.0318E+00      1.0065E+00      1.0709E+00      1.0639E-03      8.3503E+01      9.4592E+01      1.0000E+00
      1.0209E-03      1.0204E+00      1.0019E+00      1.0392E+00      1.0091E-03      8.7491E+01      9.3163E+01      1.0000E+00
      1.0345E-03      1.0134E+00      1.0014E+00      1.0351E+00      1.0238E-03      8.7684E+01      9.2246E+01      1.0000E+00
      1.0714E-03      1.0252E+00      1.0013E+00      1.0525E+00      1.0565E-03      8.9540E+01      9.1187E+01      1.0000E+00
      1.0847E-03      1.0490E+00      1.0039E+00      1.0926E+00      1.0602E-03      8.7863E+01      9.1237E+01      1.0000E+00
      1.0304E-03      1.0144E+00      1.0007E+00      1.0351E+00      1.0230E-03      8.9006E+01      9.1058E+01      1.0000E+00
      1.0246E-03      1.0173E+00      1.0007E+00      1.0379E+00      1.0203E-03      8.9574E+01      9.0371E+01      1.0000E+00
      9.7295E-04      1.0042E+00      1.0017E+00      1.0067E+00      9.6962E-04      8.6705E+01      9.3171E+01      1.0000E+00
      9.7685E-04      1.0023E+00      1.0014E+00      1.0020E+00      9.7582E-04      8.6938E+01      9.3012E+01      1.0000E+00
      9.7590E-04      1.0084E+00      1.0017E+00      1.0144E+00      9.7034E-04      8.6649E+01      9.3038E+01      1.0000E+00
      9.8438E-04      1.0105E+00      1.0010E+00      1.0177E+00      9.7976E-04      8.7543E+01      9.2297E+01      1.0000E+00
      9.7801E-04      1.0033E+00      1.0013E+00      1.0041E+00      9.7652E-04      8.7096E+01      9.2825E+01      1.0000E+00
      9.8025E-04      1.0036E+00      1.0006E+00      1.0057E+00      9.7908E-04      8.8108E+01      9.1854E+01      1.0000E+00
      9.7702E-04      1.0017E+00      1.0014E+00      1.0007E+00      9.7682E-04      8.7020E+01      9.2970E+01      1.0000E+00
      9.7647E-04      1.0021E+00      1.0013E+00      1.0015E+00      9.7633E-04      8.7027E+01      9.2971E+01      1.0000E+00
      9.7729E-04      1.0013E+00      1.0012E+00      1.0004E+00      9.7698E-04      8.7230E+01      9.2755E+01      1.0000E+00
      9.7775E-04      1.0011E+00      1.0005E+00      1.0012E+00      9.7751E-04      8.8273E+01      9.1720E+01      1.0000E+00
