  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      1.5050E-03      1.6033E+00      1.4709E+00      2.2458E+00      8.4410E-04      5.4782E+01      1.3030E+02      1.0000E+00
      8.0458E-04      1.1255E+00      1.0354E+00      1.2393E+00      6.4482E-04      8.2095E+01      1.0499E+02      1.0000E+00
      1.2444E-03      1.5431E+00      1.3753E+00      1.9935E+00      7.9972E-04      5.1135E+01      1.2471E+02      1.0000E+00
      1.6635E-03      1.6491E+00      1.5811E+00      2.2931E+00      8.6180E-04      5.3021E+01      1.3490E+02      1.0000E+00
      1.2772E-03      1.5244E+00      1.3786E+00      2.0024E+00      8.0203E-04      5.0524E+01      1.2283E+02      1.0000E+00
      7.9945E-04      1.0784E+00      1.0259E+00      1.1911E+00      6.8206E-04      8.4580E+01      1.0227E+02      1.0000E+00
      1.0046E-03      1.0034E+00      1.0000E+00      1.0066E+00      9.9841E-04      8.9730E+01      9.0432E+01      1.0000E+00
      9.9624E-04      1.0029E+00      1.0001E+00      1.0062E+00      9.9246E-04      8.9538E+01      9.0658E+01      1.0000E+00
      1.0090E-03      1.0037E+00      1.0001E+00      1.0117E+00      1.0022E-03      8.9425E+01      9.0430E+01      1.0000E+00
      9.9355E-04      1.0115E+00      1.0002E+00      1.0185E+00      9.8906E-04      8.9294E+01      9.0710E+01      1.0000E+00
      9.9713E-04      1.0052E+00      1.0001E+00      1.0109E+00      9.9392E-04      8.9667E+01      9.0494E+01      1.0000E+00
      9.9671E-04      1.0116E+00      1.0002E+00      1.0202E+00      9.9365E-04      8.9794E+01      9.0203E+01      1.0000E+00
      9.9119E-04      1.0033E+00      1.0001E+00      1.0060E+00      9.8878E-04      8.9227E+01      9.0893E+01      1.0000E+00
      9.8866E-04      1.0033E+00      1.0002E+00      1.0054E+00      9.8709E-04      8.8917E+01      9.1122E+01      1.0000E+00
      9.9271E-04      1.0061E+00      1.0002E+00      1.0109E+00      9.9020E-04      8.9188E+01      9.0895E+01      1.0000E+00
      9.9462E-04      1.0102E+00      1.0003E+00      1.0178E+00      9.9198E-04      8.9200E+01      9.0816E+01      1.0000E+00
      9.9027E-04      1.0057E+00      1.0003E+00      1.0097E+00      9.8845E-04      8.8778E+01      9.1248E+01      1.0000E+00
      9.9215E-04      1.0087E+00      1.0004E+00      1.0150E+00      9.9018E-04      8.8748E+01      9.1261E+01      1.0000E+00
      9.9355E-04      1.0399E+00      1.0032E+00      1.0683E+00      9.6716E-04      8.7409E+01      9.3498E+01      1.0000E+00
      1.0424E-03      1.0579E+00      1.0050E+00      1.0962E+00      1.0199E-03      8.7333E+01      9.2543E+01      1.0000E+00
      1.0028E-03      1.0231E+00      1.0008E+00      1.0405E+00      9.9422E-04      8.9407E+01      9.0749E+01      1.0000E+00
      1.0134E-03      1.0266E+00      1.0012E+00      1.0495E+00      1.0085E-03      8.9651E+01      9.0289E+01      1.0000E+00
      1.0407E-03      1.0590E+00      1.0058E+00      1.0981E+00      1.0101E-03      8.5982E+01      9.3463E+01      1.0000E+00
      9.7125E-04      1.0437E+00      1.0038E+00      1.0700E+00      9.3798E-04      8.6882E+01      9.4177E+01      1.0000E+00
      1.0107E-03      1.0280E+00      1.0014E+00      1.0512E+00      1.0046E-03      8.8937E+01      9.1144E+01      1.0000E+00
      9.9735E-04      1.0239E+00      1.0011E+00      1.0461E+00      9.8977E-04      8.9178E+01      9.1147E+01      1.0000E+00
      9.9765E-04      1.0143E+00      1.0004E+00      1.0260E+00      9.9455E-04      8.9241E+01      9.0721E+01      1.0000E+00
      1.0002E-03      1.0158E+00      1.0005E+00      1.0307E+00      9.9834E-04      8.9310E+01      9.0637E+01      1.0000E+00
      9.9424E-04      1.0113E+00      1.0004E+00      1.0204E+00      9.9239E-04      8.8833E+01      9.1162E+01      1.0000E+00
      9.9581E-04      1.0127E+00      1.0004E+00      1.0242E+00      9.9457E-04      8.9022E+01      9.0962E+01      1.0000E+00
      9.9984E-04      1.0160E+00      1.0006E+00      1.0322E+00      9.9864E-04      8.9370E+01      9.0688E+01      1.0000E+00
      9.9821E-04      1.0159E+00      1.0005E+00      1.0324E+00      9.9678E-04      8.9480E+01      9.0563E+01      1.0000E+00
      9.9627E-04      1.0131E+00      1.0004E+00      1.0259E+00      9.9572E-04      8.9226E+01      9.0747E+01      1.0000E+00
      9.9642E-04      1.0134E+00      1.0004E+00      1.0268E+00      9.9592E-04      8.9434E+01      9.0541E+01      1.0000E+00
      4.0694E-03      1.1770E+00      1.0455E+00      1.2876E+00      3.5461E-03      7.5482E+01      1.0417E+02      1.0000E+00
      4.2189E-03      1.1557E+00      1.0417E+00      1.2195E+00      3.7885E-03      7.5965E+01      1.0365E+02      1.0000E+00
      1.6862E-03      1.6638E+00      1.5596E+00      2.3177E+00      8.8030E-04      5.3073E+01      1.3413E+02      1.0000E+00
      8.0386E-04      1.0765E+00      1.0278E+00      1.1825E+00      6.8917E-04      8.3911E+01      1.0280E+02      1.0000E+00
      1.3055E-03      1.5374E+00      1.3793E+00      2.0264E+00      8.1435E-04      5.0645E+01      1.2307E+02      1.0000E+00
      1.7487E-03      1.6468E+00      1.5673E+00      2.3142E+00      8.9140E-04      5.3995E+01      1.3453E+02      1.0000E+00
      1.3222E-03      1.5261E+00      1.3653E+00      2.0000E+00      8.2886E-04      5.0839E+01      1.2241E+02      1.0000E+00
      8.2736E-04      1.0816E+00      1.0288E+00      1.1895E+00      7.0571E-04      8.3532E+01      1.0307E+02      1.0000E+00
      4.4208E-03      1.2018E+00      1.0513E+00      1.2973E+00      3.8234E-03      7.6113E+01      1.0443E+02      1.0000E+00
      4.6021E-03      1.1784E+00      1.0492E+00      1.2287E+00      4.0870E-03      7.5934E+01      1.0492E+02      1.0000E+00
      1.7727E-03      1.6434E+00      1.5690E+00      2.3234E+00      9.1779E-04      5.3592E+01      1.3406E+02      1.0000E+00
      8.3383E-04      1.0767E+00      1.0236E+00      1.1765E+00      7.1712E-04      8.4551E+01      1.0193E+02      1.0000E+00
      1.3622E-03      1.5621E+00      1.3972E+00      2.0442E+00      8.4362E-04      4.9592E+01      1.2401E+02      1.0000E+00
      1.8368E-03      1.6349E+00      1.5660E+00      2.3329E+00      9.2754E-04      5.4685E+01      1.3418E+02      1.0000E+00
      1.3784E-03      1.5494E+00      1.3740E+00      2.0145E+00      8.5853E-04      5.0083E+01      1.2311E+02      1.0000E+00
      8.5749E-04      1.0874E+00      1.0265E+00      1.1869E+00      7.3318E-04      8.3720E+01      1.0272E+02      1.0000E+00
      9.7538E-04      1.0471E+00      1.0037E+00      1.0752E+00      9.3907E-04      8.7356E+01      9.3736E+01      1.0000E+00
      1.0554E-03      1.0606E+00      1.0053E+00      1.1022E+00      1.0207E-03      8.6454E+01      9.2782E+01      1.0000E+00
      1.0001E-03      1.0254E+00      1.0011E+00      1.0473E+00      9.9155E-04      8.9598E+01      9.0589E+01      1.0000E+00
      1.0181E-03      1.0291E+00      1.0013E+00      1.0527E+00      1.0110E-03      8.9359E+01      9.0559E+01      1.0000E+00
      1.0628E-03      1.0569E+00      1.0049E+00      1.0999E+00      1.0308E-03      8.6498E+01      9.2614E+01      1.0000E+00
      9.9470E-04      1.0448E+00      1.0035E+00      1.0729E+00      9.6382E-04      8.7428E+01      9.3438E+01      1.0000E+00
      1.0225E-03      1.0268E+00      1.0013E+00      1.0513E+00      1.0177E-03      8.9409E+01      9.0467E+01      1.0000E+00
      1.0131E-03      1.0242E+00      1.0011E+00      1.0466E+00      1.0083E-03      8.9666E+01      9.0499E+01      1.0000E+00
      9.9979E-04      1.0170E+00      1.0005E+00      1.0335E+00      9.9764E-04      8.9654E+01      9.0251E+01      1.0000E+00
      1.0043E-03      1.0178E+00      1.0006E+00      1.0342E+00      1.0026E-03      8.9824E+01      9.0157E+01      1.0000E+00
      9.9764E-04      1.0141E+00      1.0004E+00      1.0278E+00      9.9678E-04      8.9627E+01      9.0350E+01      1.0000E+00
      9.9999E-04      1.0146E+00      1.0004E+00      1.0284E+00      9.9910E-04      8.9787E+01      9.0204E+01      1.0000E+00
      1.0073E-03      1.0169E+00      1.0005E+00      1.0335E+00      1.0070E-03      8.9911E+01      9.0091E+01      1.0000E+00
      1.0088E-03      1.0172E+00      1.0006E+00      1.0342E+00      1.0079E-03      8.9950E+01      9.0046E+01      1.0000E+00
      1.0024E-03      1.0147E+00      1.0004E+00      1.0288E+00      1.0017E-03      8.9890E+01      9.0107E+01      1.0000E+00
      1.0048E-03      1.0150E+00      1.0004E+00      1.0294E+00      1.0040E-03      8.9946E+01      9.0049E+01      1.0000E+00
      1.0021E-03      1.0536E+00      1.0050E+00      1.0835E+00      9.6480E-04      8.6585E+01      9.4307E+01      1.0000E+00
      1.0870E-03      1.0682E+00      1.0068E+00      1.1177E+00      1.0487E-03      8.5933E+01      9.3167E+01      1.0000E+00
      1.0186E-03      1.0293E+00      1.0014E+00      1.0529E+00      1.0098E-03      8.9170E+01      9.0994E+01      1.0000E+00
      1.0391E-03      1.0331E+00      1.0018E+00      1.0609E+00      1.0306E-03      8.9077E+01      9.0770E+01      1.0000E+00
      1.0950E-03      1.0642E+00      1.0060E+00      1.1144E+00      1.0606E-03      8.6418E+01      9.2648E+01      1.0000E+00
      1.0239E-03      1.0510E+00      1.0045E+00      1.0831E+00      9.9076E-04      8.7052E+01      9.3790E+01      1.0000E+00
