  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      1.0041E-02      1.0021E+00      1.0000E+00      1.0042E+00      1.0040E-02      8.9992E+01      9.0008E+01      1.0000E+00
      1.0048E-02      1.1254E+00      1.0371E+00      1.2608E+00      8.8889E-03      7.6959E+01      1.0304E+02      1.0000E+00
      1.0106E-02      1.0053E+00      1.0001E+00      1.0106E+00      1.0106E-02      8.9987E+01      9.0013E+01      1.0000E+00
      1.0067E-02      1.0034E+00      1.0000E+00      1.0067E+00      1.0067E-02      8.9987E+01      9.0013E+01      1.0000E+00
      1.0061E-02      1.0031E+00      1.0000E+00      1.0062E+00      1.0061E-02      8.9989E+01      9.0011E+01      1.0000E+00
      1.0047E-02      1.0024E+00      1.0000E+00      1.0047E+00      1.0046E-02      8.9992E+01      9.0008E+01      1.0000E+00
      1.0042E-02      1.0021E+00      1.0000E+00      1.0042E+00      1.0042E-02      8.9996E+01      9.0004E+01      1.0000E+00
      1.0048E-02      1.1254E+00      1.0372E+00      1.2607E+00      8.8889E-03      7.6950E+01      1.0305E+02      1.0000E+00
      1.0106E-02      1.0053E+00      1.0001E+00      1.0106E+00      1.0106E-02      8.9997E+01      9.0003E+01      1.0000E+00
      1.0067E-02      1.0033E+00      1.0000E+00      1.0067E+00      1.0067E-02      8.9997E+01      9.0003E+01      1.0000E+00
      1.0062E-02      1.0031E+00      1.0000E+00      1.0062E+00      1.0062E-02      8.9997E+01      9.0003E+01      1.0000E+00
      1.0047E-02      1.0024E+00      1.0000E+00      1.0047E+00      1.0047E-02      8.9998E+01      9.0002E+01      1.0000E+00
      1.0042E-02      1.0021E+00      1.0000E+00      1.0043E+00      1.0042E-02      8.9999E+01      9.0001E+01      1.0000E+00
      1.0048E-02      1.1254E+00      1.0372E+00      1.2607E+00      8.8889E-03      7.6950E+01      1.0305E+02      1.0000E+00
      1.0106E-02      1.0053E+00      1.0001E+00      1.0106E+00      1.0106E-02      8.9997E+01      9.0003E+01      1.0000E+00
      1.0067E-02      1.0033E+00      1.0000E+00      1.0067E+00      1.0067E-02      8.9997E+01      9.0003E+01      1.0000E+00
      1.0062E-02      1.0031E+00      1.0000E+00      1.0062E+00      1.0062E-02      8.9997E+01      9.0003E+01      1.0000E+00
      1.0047E-02      1.0024E+00      1.0000E+00      1.0047E+00      1.0047E-02      8.9998E+01      9.0002E+01      1.0000E+00
      1.0042E-02      1.0021E+00      1.0000E+00      1.0043E+00      1.0042E-02      8.9999E+01      9.0001E+01      1.0000E+00
      1.0048E-02      1.1254E+00      1.0371E+00      1.2608E+00      8.8889E-03      7.6959E+01      1.0304E+02      1.0000E+00
      1.0106E-02      1.0053E+00      1.0001E+00      1.0106E+00      1.0106E-02      8.9987E+01      9.0013E+01      1.0000E+00
      1.0067E-02      1.0034E+00      1.0000E+00      1.0067E+00      1.0067E-02      8.9987E+01      9.0013E+01      1.0000E+00
      1.0061E-02      1.0031E+00      1.0000E+00      1.0062E+00      1.0061E-02      8.9989E+01      9.0011E+01      1.0000E+00
      1.0047E-02      1.0024E+00      1.0000E+00      1.0047E+00      1.0046E-02      8.9992E+01      9.0008E+01      1.0000E+00
      1.0042E-02      1.0021E+00      1.0000E+00      1.0042E+00      1.0042E-02      8.9996E+01      9.0004E+01      1.0000E+00
      1.0049E-02      1.1254E+00      1.0372E+00      1.2606E+00      8.8904E-03      7.6931E+01      1.0307E+02      1.0000E+00
      1.0107E-02      1.0053E+00      1.0001E+00      1.0107E+00      1.0106E-02      8.9972E+01      9.0028E+01      1.0000E+00
      1.0066E-02      1.0033E+00      1.0000E+00      1.0067E+00      1.0066E-02      8.9972E+01      9.0028E+01      1.0000E+00
      1.0061E-02      1.0031E+00      1.0000E+00      1.0061E+00      1.0060E-02      8.9977E+01      9.0023E+01      1.0000E+00
      1.0046E-02      1.0024E+00      1.0000E+00      1.0046E+00      1.0045E-02      8.9984E+01      9.0016E+01      1.0000E+00
      1.0041E-02      1.0021E+00      1.0000E+00      1.0042E+00      1.0040E-02      8.9992E+01      9.0008E+01      1.0000E+00
      1.0051E-02      1.1256E+00      1.0369E+00      1.2610E+00      8.8904E-03      7.6991E+01      1.0301E+02      1.0000E+00
      1.0106E-02      1.0053E+00      1.0001E+00      1.0107E+00      1.0106E-02      8.9943E+01      9.0057E+01      1.0000E+00
      1.0065E-02      1.0033E+00      1.0000E+00      1.0066E+00      1.0064E-02      8.9946E+01      9.0054E+01      1.0000E+00
      1.0059E-02      1.0031E+00      1.0000E+00      1.0060E+00      1.0057E-02      8.9957E+01      9.0043E+01      1.0000E+00
      1.0044E-02      1.0023E+00      1.0000E+00      1.0045E+00      1.0042E-02      8.9971E+01      9.0029E+01      1.0000E+00
      1.0039E-02      1.0021E+00      1.0000E+00      1.0040E+00      1.0038E-02      8.9985E+01      9.0015E+01      1.0000E+00
      1.0053E-02      1.1257E+00      1.0375E+00      1.2605E+00      8.8942E-03      7.6854E+01      1.0315E+02      1.0000E+00
      1.0105E-02      1.0053E+00      1.0001E+00      1.0106E+00      1.0105E-02      8.9891E+01      9.0109E+01      1.0000E+00
      1.0062E-02      1.0033E+00      1.0000E+00      1.0064E+00      1.0060E-02      8.9900E+01      9.0100E+01      1.0000E+00
      1.0055E-02      1.0030E+00      1.0000E+00      1.0057E+00      1.0053E-02      8.9925E+01      9.0075E+01      1.0000E+00
      1.0040E-02      1.0022E+00      1.0000E+00      1.0042E+00      1.0038E-02      8.9952E+01      9.0048E+01      1.0000E+00
      1.0036E-02      1.0020E+00      1.0000E+00      1.0038E+00      1.0034E-02      8.9977E+01      9.0023E+01      1.0000E+00
      1.0054E-02      1.1256E+00      1.0362E+00      1.2609E+00      8.8942E-03      7.7129E+01      1.0287E+02      1.0000E+00
      1.0102E-02      1.0054E+00      1.0001E+00      1.0105E+00      1.0099E-02      8.9799E+01      9.0201E+01      1.0000E+00
      1.0055E-02      1.0032E+00      1.0000E+00      1.0060E+00      1.0051E-02      8.9833E+01      9.0167E+01      1.0000E+00
      1.0049E-02      1.0028E+00      1.0000E+00      1.0053E+00      1.0044E-02      8.9882E+01      9.0118E+01      1.0000E+00
